,Summoner ID
0,aqLjb6BhaympR3luasulri4kJ9hoYJeafFzd_F8XVHzCQ1RR
1,_n4tvD2txwS-F8JjqSgh234mOdw9mwxZxKcrd5J6xZefQ-Ut
2,2IBdaLZGbci9rnGT7lsDUd_J3YUf-w3-NLqlkPUtInXE_0dl
3,i886J8mb0pRW6wGsPYAsxXGC6NjAajIezlBbO4EZuDKGtX84
4,3x6nLSwRtbLvNqu53n6hio0iJWO_A3nNwiiexyH9zNkHjpsO
5,GuFfJYNJoJugtHi4scpfFxGOZVt9Im-9-biVI4_WwlgRuM9v
6,n-QPcMTCkopBt3z7TacEVcIB-f5Hbb0dH7e80njK_uz8DPA0
7,MY3X39xfjBnvEHJBTVerGgKL2_hD8gb3vtAkWEIdbjMo0Ykt
8,955skGqhA078X8lEkVRjWgqQRMV1OOlu39mV5f_01gkym48s
9,cSPulqFuSXiYMH3iBXk8tWrTRYOdtdGP1qOzMpBaX78Fb398
10,ctQmkwwbNVPCWg9SwhX3kUeVwAa5FldN2QSdCAU4V0V0OLCK
11,LpRgoqmsvcLt75tmHKbnp4yEuVPyArE-dAXI9CEesatk8_WS
12,FU3cUE3CUvTf5NcVhOasN7uDBuhAzB-Hjuode2M6t3ViBwfm
13,x1zSz8MU6rTWlieRDHUicdKYBhw_q-izx8dehQRrFozxV5rJ
14,39IzCebDA7SBP1gBfuKyTFoAjXWbzKl6gPoIpg_2a2YZU8XN
15,xqljzj3D1BPhrcvHtXXJ1M-GUjZ7U_KdP4RRC6sXM5W0pRGe
16,cWTCirtpgMyf1yWcIRLSWD26KWWLTUn1jHY0hcsCBriAtaF7
17,kmTP8_bQO4QRGlDCtijAbrcUtH3AM-UQrB9cJPiRi6Mol75p
18,DGCCXFHsS4gy4xHHpFmYqSklV-FzKL42zov_U_Eg-JOnZO-l
19,PLzhMQsOetO8KiYdE3zyg42bA8QNvjYyMwpoV6kv6WkYav-Z
20,Q_YhmnIXzMUFSOYCq2dD0q0Vtw0EoYLKzgCvIGudry8BxhOV
21,48GJjEs_KQzRVdFwzZJrqS8nreM7Q6-lGkOyxFCDz9CqegUQ
22,N-NCifiK9RJsCI8qiCZsk50rZG3ivg1WY2T4bdmWmklsDCcm
23,7dSbgK6fZTkDX_bhZiBMX_zUoCRgAJTq02phLlmj24DfxRIT
24,8cmYkUxkN03JmhHcNtDHq6_6196TTJ8waLqDZfEUkuuVHv5U
25,pLWIsZSU6buxTUZGndLR0vP0zUshKCOlv9JssDKBisBzsC-L
26,eMoyDRotAk7l9el-NU8lyku7lA3MEKb5gwk0e6YNobi7uPCL
27,p2uG-uEVthdxQ_YFtuC_VjmcSPX1L6-pgVb-Yx8wsw4eu12y
28,sryEhEJGGtJiJlI_gqMexfPjA9wRH1sPQR3QSEe_Zqs3GDcQ
29,1Xla5DgUPY4r6x05rY3erViEUcYhesuDC6otgta-pAgY3Dat
30,h2Dl1MDFI741rPkw9l-q2F9pJfYPqgIEbz5j39QuXKrH2fJ8
31,mRL7GKm3W7heouk3FEnwZL4yRjYrQnTyG6G-_qsmMxAMj-8i
32,A6sHN3rkxWuA-Ouh4zubD67P7gGI1vdFtyr36_rQoPvA0yiC
33,N0EgvP40C2VAOYCtQZtAnoLo0XwH6K2kp9Pcquhnyc_QZmS_
34,TqYwnMMCkjrDyGWv5FrUwMKC7qFjRXG6s4aMPphtvfpOg5Ej
35,B3rZrAPcMCfDbe2wg9Zmvx1tCYi-mcjEXoNrFxAM0_lX_4f1
36,tqTxC-CM7ZbN9NmblN81myXWov1a6ihltt4fnILUByKtVLNW
37,ijb9ZiMLmWugpZSsZshaLQIsp2W4WQU2kbaIUUXVMV_Q1Llw
38,Uywl1qCztkBwnY14tCGeYG8DN5kpgFosjV2-jSXM-I6cdTvg
39,VnlCHPEMbC03wa4UpILV7Rsn18FbH0aemTUl5y_mIzV95i0b
40,zT4WwNOZkw_iSTycpl3Un04pzF8tr289_CoMqSN8Ne-SuuR0
41,o61y4baYTTwch_CsapCwPN2VjgtpzXvy8JWY5L2pmlxSQWAP
42,LGIok-Qc63NuFVoxTQdix0H79cw5qC2pt6tJ-L9OcnHdCoJl
43,e6Vooz6-BVyKzlNvtkXMBH_e7b7BVl_IdN3gOSOCBPdHGdRw
44,Pg496V-RvKAYdgj1NLFuSpviEKJRxYyN_H5kONsaOtzSvV_V
45,_BSkrTjl69RAglg7R2ojrXGaZv7Ccb9wP8IGQ9hNmj5JJYob
46,EgI4f3ymZ-9YP8VqU6499pAooYmByKxa5hIan6MNA4m95r-9
47,VOrR7HSEm6Tcc3OU94AAAZ8UoHDIdFkyWLuNbhVGGicbKfTc
48,b09ditmsRKDC0iwujVusBInN2RPgqCSykPJ3EFdxw2_JKomw
49,YNSZaG1sgCV79zmaK8yZYVaV5IzdARmS4QsGfw-NL6fgXitm
50,uqr4j6rJZC8Ugx3F4e324KIrf2Y6JPu4s5SRhc4CQx2QJhhO
51,bkQh8xWMtW9398IZWH0NkezuRRm55AbF2eJ-TN5KIguJki7A
52,k_GPlciwDmoMGoMepbNkDH2Au77v0qpu-e2adMs61ncjonrr
53,BLgDd7LwFb2t9UjK7AYzkX04fYPTAQd1jS_8DEo4hJgoxiGw
54,jARvTVMp-VhzRLzU1JWvqIvATW8UNz-sBP4KibgwJbWUaeDG
55,rK0OBDSo5CNge9u-V1ebny18FGqRdatzc83VxW1ahTAqx03B
56,WiYCfOEjuBsZtc1C7Rr19S2ZrRJa5v__gGYWy9a2OImwETdx
57,eyK5Ln_PboASreGOhU0Lb-4qpA_9JLJkNK3ZO9PTcotI8Vfn
58,ejZmj_KV2WBetW-eB1xYKv2Rb6sLZJHvwmE-kfm2Ok0YSQxz
59,NTTHjsMo7-rEBJYPERmUS13qaknhDCUcU5o3O4ia9q52vsTA
60,WphY3pOgnOICxrr8yaBKPgiB42GXDnISgp5-Omrl60aakHMP
61,61N6IBH3audlRC9GpyA9VKYGW7KpcGEagMWTImC0r7XM4Y06
62,5QifBPYI1jAN_kBblRXHa4VAong_NjpGFXi3CBGLu2EOOTZn
63,Nlpefs1QlKittYPWVKHCHw8Qm-2sjOcIfQGQG30HL-uVH_I7
64,eTdi9bBpppS_lTuc93_HUaBUpl_NjexpQdCpLq3HDj4AcFWK
65,72USfIBTJzTI25K-9NyTPDBL48qdpoOIJeAv3H2xhXLJl_jG
66,6dOJTAUnhIP1Hj_8ka-5jKmugaY_1muwXd9U3Pu4aO6C_DDq
67,hR5bv1R1JsZLvPX4XUswqFvFQm8VPQvu7QjNA_YSasSO91cB
68,v0u2eLM9LBpWhL0GDXw5v5LWD9P7xRBUj_aeZM5sjdAk
69,_XmamAJ9VcDrRx0jIYJlz5U5BibSX_qYs48RKe-w71AiG8-A
70,mqveczbCuJ3o80-IL8M1bfUgZaxwuUM1ULdNMAwdzv4L5w2E
71,B9lLTNftaRDaVfVgIB6B3giA5EEHQBMdpkb4aNaXoNM5lmEF
72,o3i7BTEGuXj7Jl94htSt2dAYaTa6GmEs-f03r9iUwrAJoNC7
73,0_kdvTbFrl1sBkbaWBv_U5cabXEm4sSvdXlHdX4G3x0Y4mma
74,ieD2aREvGp61fAr7RmFwuhaJyDvZj7VdYoflO1TsYjO8m7nb
75,_wDVT96t_TafO7-CzhtiJCp4jn24a4vBDcmDj97IIQGwb7SI
76,Fk5vp7d4oGsNfxS7AfW-PchA86KpHtIIcIl6o4OlBAXzGifd
77,e9fLbmaSp5SMk387PrtPPRkIbuoXlHshaMRANDIDlHKmeb8O
78,SBe4hN29ZENDpKsA5F7AqGvrReIJgihHEn0ImudzowayPxzF
79,49MOOKh6aZL1JZjw5o_5wpFheC5W9RTKnvIOQLCdu5zYGRmG
80,Pt232-5iWPSPoGVFAOYFnYijUy1UK1JdwnEHhiz9IGjl0dWP
81,1ih5GjXK9OvZWcsmpOjtnGQP1NtgC1I7btW3-D2olvmrziKR
82,w6Pa0pNWcxUp6KTbBYzRQvvttAVC1HPOCWW8Z_K-05IdIM8R
83,aY9t7G9JzOp--mBZQK5dgKCRg1zKVEm0tq69-OIHJrGNTw7G
84,Luh2dLIZqhAwxH8-SghyLmk40yHuIU-RFUeUdZ1EWYDLqo-0
85,WETShBVj2fLgjlopSNetLnrYP_2QSozJseYZIUvE220XceyS
86,kxBlRgK5QB5083QPxLUN2H4vm1WIYUk2j-EllWnjPnQJnxtI
87,-2YuRELxx_MhYlh49fNhiEUY-dXVFZWDDQ9dt56bTK24zAuN
88,Xjg2k7362bcPeJLhFOk1K_JHOjEnyweCvyZYEcu7VYTKTKVf
89,3hjUyyBRmw9t_PBGwOL-Y-0pI5TvR1wjhC5IFkWk3WnwDOMv
90,u1m7KOS5UlZ6EKeymH_dqvU3ty-zBU_IYT3IfucDRFL7VZNu
91,nVZ1yK0UMdct-wVHyHeKMQo-AO3IjV8YbamuYz--2X90JB2x
92,yrDOM_HoH1Ci2f-w_Mh28YiFYy9jIQJ6tt01y5lSIv5H
93,2vblZDq_28pIfv6mdEcpCwiFKCywGpOB_SvoV71L4pjIppjY
94,fhEjM0qXMV070-sSQqoJdO_CJBXHqZTfw52YhC-nqtlrp7kf
